,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS
PitcherID,10000001,10000004,10000007,10000012,10000060,10000066,10000071,10000095,10000096,10000101,10000113,10000117,10000151,10000153,10000155,10000184,10000189,10000193,10000202,10000247,10000249,10000250,10000276,10000291,10000328,10000330,10000335,10000342,10000364,10000367,10000371,10000372,10000421,10000426,10000432,10000466,10000469,10000506,10000519,10000520,10000555,10000556,10000564,10000567,10000569,10000602,10000613,10000622,10000694,10000746,10000748,10000786,10000805,10000807,10000842,10000843,10000848,10000850,10000886,10000895,10000931,10000970,10000977,10000981,10000986,10001017,10001025,10001031,10001064,10001065,10001072,10001150,10001154,10001157,10001161,10001186,10001187,10001191,10001202,10001203,10001243,10001250,10001290,10001303,10001305,10001333,10001335,10001337,10001345,10001350,10001353,10001629,10001986,10001993,10002046,10002058,10002066,10002077,10002091,10002098,10003142,10003206,10003212,10003259,10003284,10003322,10003325,10003360,10004421,10005232,10005234,10005288,10005290,10005294,10005311,10005315,10005327,10005337,10005349,10005351,10005587,10005787,10005835,10005848,10005879,10005913,10006172,10006183,10006353,10006438,10006571,10006766,10006824,10007245,10007361,10007523,10008667
BatterID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000081,,,,,,,,,,,,,0.33399999999999996,,,,,1.0759999999999998,0.6659999999999999,,,,,,,,,,,,0.81,,,,,0.33399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.412,,,,,,,,,0.7929999999999999,0.7170000000000001,,,,,0.33399999999999996,,0.0,,,,,,0.597,,0.33399999999999996,,,,,,,0.546,,,0.5329999999999999,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.34700000000000003,0.762,,,,,,0.33399999999999996,,,,
10000082,,,,,,,,,,,0.33399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,0.16699999999999998,,,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000084,,,,,,,,,,,1.375,,,0.804,,,0.182,,,,,0.33299999999999996,,1.0,,,0.33399999999999996,,,,,,0.94,,0.34299999999999997,,,,,,,,,,,,,,,,,,,,,,0.637,0.555,,,,0.28600000000000003,,1.0090000000000001,,,0.444,,,0.192,,,,,,,,1.194,0.9,,0.813,,,,,,0.358,,,,,,,,,,,0.5,0.513,,,,,,,,1.1420000000000001,,,,,,,,1.55,,,0.444,,,,,,,,,,,,,,,,,,,
10000089,,,,,,,,,,,,,,,,,,,,0.5720000000000001,,,,,,,,,,0.8440000000000001,,1.171,,0.7659999999999999,,,,,,0.8190000000000001,,,,,,,,,,,,,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804,,,1.0070000000000001,0.805,,,,,1.125,,,,,,,0.9440000000000001,,,,0.8590000000000001,,,,0.816,,,,1.166,,,,,,,,,1.778,,,,,,,,0.9,,,,,,
10000121,,,,,,,,,,,,,,,0.555,,,,,,0.414,,,,0.65,,0.308,,,,,,,,0.429,,0.9640000000000001,0.7879999999999999,,,,,,,,,,,0.875,0.5,,,,,,,0.47100000000000003,0.0,1.0,,,,0.14300000000000002,,,,,,1.1440000000000001,,,,,,,,1.117,,,0.611,,,0.125,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000123,,,,,,,,,,,,,,,,0.16699999999999998,,,,,,0.0,,,,,,,,0.16699999999999998,,,,,,1.055,,,,,,,,,,,,0.16699999999999998,,,,,,,,1.165,,,,,,,,,0.5329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.3330000000000002,,,,,,,,0.8340000000000001,,,,,,,1.238,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
10000125,,0.474,,,,,,,,,,,,,0.563,,,,,,0.243,,,,1.0490000000000002,0.311,0.38799999999999996,,,,,,,,0.5,,0.28600000000000003,0.297,,,,,,,,,,,0.904,0.838,,,,,,,0.645,0.6709999999999999,0.6809999999999999,,,,0.8190000000000001,,,,,,0.722,,,,,,,,1.038,,,0.826,,,0.802,1.516,,,,,,,2.251,,,0.856,,,,,,,,,,,,,,,1.381,,,,,,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,
10000126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,0.858,,,,,,,,,,,,,,,,,,,,,1.4669999999999999,,,,,,
10000129,,,,,,,,,,,,,,,0.5760000000000001,,,,,,1.162,,,,2.349,0.6609999999999999,1.125,,,,,,,,0.792,,0.511,0.516,,,1.4580000000000002,,,,,,,,1.0,0.782,,,,,,,1.0759999999999998,0.531,0.6509999999999999,,,,0.62,,,,,,0.988,,,,,,,,0.7509999999999999,,,0.927,,,0.745,0.485,,,,,,,1.555,,,1.129,,,,,,,,,,,,,,,1.089,,,,,,0.833,,,,,,,,,,,,,,,,,,,,,,
10000137,,0.214,,,,,,,,,,,,,0.8320000000000001,,,,,,0.6559999999999999,,,,0.38799999999999996,0.588,0.45,,,,,,,,0.8290000000000001,,0.485,0.174,,,0.444,,,,,,,,0.182,1.11,,,,,,,0.8079999999999999,1.1079999999999999,0.823,,,,0.968,0.75,,,,,0.6920000000000001,,,,,,,,0.74,,,0.7759999999999999,,,0.8740000000000001,0.45299999999999996,,,,,,,0.988,,,0.648,,,,,,,,,,,,,,,1.214,,,,,,0.425,,,,,,,,,,,,,,,,,,,,,,
10000163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929,,,,,,,,,,,,,,,,,,,,,,,,,0.6659999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
